Citation	wID	1830	1837	1840	1841	1879	1920
Jarom 1:5	7.01	⌴	⌴
Jarom 1:5	8	passed	passed
Jarom 1:5	8.01	⌴	⌴
Jarom 1:5	9	away	away
Jarom 1:5	9.01	,	,
Jarom 1:5	9.02	⌴	⌴
Jarom 1:5	10	and	and
Jarom 1:5	10.01	⌴	⌴
Jarom 1:5	11	the	the
Jarom 1:5	11.01	⌴	⌴
Jarom 1:5	12	people	people
Jarom 1:5	12.01	⌴	⌴
Jarom 1:5	13	of	of
Jarom 1:5	13.01	⌴	⌴
Jarom 1:5	14	Nephi	Nephi
Jarom 1:5	14.01	⌴	⌴
Jarom 1:5	15	had	had
Jarom 1:5	15.01	⌴	⌴
Jarom 1:5	16	waxed	waxed
Jarom 1:5	16.01	⌴	⌴
Jarom 1:5	17	strong	strong
Jarom 1:5	17.01	⌴	⌴
Jarom 1:5	18	in	in
Jarom 1:5	18.01	⌴	⌴
Jarom 1:5	19	the	the
Jarom 1:5	19.01	⌴	⌴
Jarom 1:5	20	land	land
Jarom 1:5	20.01	.	.
Jarom 1:5	20.02	⌴	⌴
Jarom 1:5	21	They	They
Jarom 1:5	21.01	⌴	⌴
Jarom 1:5	22	observed	observed
Jarom 1:5	22.01	⌴	⌴
Jarom 1:5	23	to	to
Jarom 1:5	23.01	⌴	⌴
Jarom 1:5	24	keep	keep
Jarom 1:5	24.01	⌴	⌴
Jarom 1:5	25	the	the
Jarom 1:5	25.01	⌴	⌴
Jarom 1:5	26	law	law
Jarom 1:5	26.01	⌴	⌴
Jarom 1:5	27	of	of
Jarom 1:5	27.01	⌴	⌴
Jarom 1:5	28	Moses	Moses
Jarom 1:5	28.01	,	,
Jarom 1:5	28.02	⌴	⌴
Jarom 1:5	29	and	and
Jarom 1:5	29.01	⌴	⌴
Jarom 1:5	30	the	the
Jarom 1:5	30.01	⌴	⌴
Jarom 1:5	31	Sabbath	Sabbath
Jarom 1:5	31.01	⌴	⌴
Jarom 1:5	32	day	day
Jarom 1:5	32.01	⌴	⌴
Jarom 1:5	33	Holy	holy
Jarom 1:5	33.01	⌴	⌴
Jarom 1:5	34	unto	unto
Jarom 1:5	34.01	⌴	⌴
Jarom 1:5	35	the	the
Jarom 1:5	35.01	⌴	⌴
Jarom 1:5	36	Lord	Lord
Jarom 1:5	36.01	.	.
Jarom 1:5	36.02	⌴	⌴
Jarom 1:5	37	And	And
Jarom 1:5	37.01	⌴	⌴
Jarom 1:5	38	they	they
Jarom 1:5	38.01	⌴	⌴
Jarom 1:5	39	profaned	profaned
Jarom 1:5	39.01	⌴	⌴
Jarom 1:5	40	not	not
